geocode,block group id,name,address,preference,# jobs salary <$3333 walk (0.5 mi radius),walk_job_weight,walk_job,# jobs salary <$3333 bike (4 mi radius),bike_job_weight,bike_job,# jobs salary < $3333 driving (10 mi radius),drive_job_weight,drive_job,job_score,unemployed but in cvilian labor force,total in civilian labor force,"Unemployment rate (SOUCE: 2016 Census, by Blcok Group)",Employment Rate (100-Unemployment),employ,final_job_score,# healthcare 1600m radius,S-Curve Score,healthcare,# physicians 1600m radius,S-Curve Score,physician,final_health_score,walk score,walk_weight,walk,transit score,transit_weight,transit,bikable,bike_weight,bike,final_transport_score,# elementary,elementary_weight,elementary,# middle,middle_weight,middle,# high,high_weight,high,final_edu_score,"Crime per 100,000","Safety score (100,000-crime)",safety,park in 800m radius,park s-curve score,park_weight,park,library in 800m radius,library s-curve score,library_weight,library,grocery stores in 800m radius,groceries s-curve score,grocery_weight,grocery,amenities_score,safety weight,amenities weight,final_community_score,final_property_score,job_weight,health_weight,transport_weight,edu_weight,community_weight
48453001805,484530018051,Thurmond Heights Apartments,"8426 goldfinch court, austin, tx 78758","elderly, disabled, displacement",1453,1,7.761940147,116052,0,67.58464595,320216,0,95.0720712,7.761940147,72,888,8.108108108,91.89189189,44.72537053,26.24365534,4,0.96,92.59259259,12,1,100,96.2962963,54,0,28.57142857,55,1,64.28571429,54,0,8.888888889,64.28571429,8,0.5,63.63636364,6,0.5,45.45454545,7,0,54.54545455,54.54545455,"5,188","94,812",14.14691943,0,0,0.3333333333,0,0,0,0.3333333333,0,2,0.76,0.3333333333,76,25.33333333,0.5,0.5,19.74012638,52.60945023,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667
48453000902,484530009023,Santa Rita Courts,"2341 corta st, austin, tx 78702","elderly, disabled, displacement",1331,1,6.937782882,129260,0,81.11161181,290937,0,66.74760569,6.937782882,52,561,9.26916221,90.73083779,36.81022751,21.8740052,5,0.99,98.14814815,11,1,100,99.07407407,80,0,81.63265306,47,1,35.71428571,94,0,97.77777778,35.71428571,8,0.5,63.63636364,6,0.5,45.45454545,9,0,72.72727273,54.54545455,"2,289","97,711",82.8436019,3,0.91,0.3333333333,91,0,0,0.3333333333,0,6,1,0.3333333333,100,63.66666667,0.5,0.5,73.25513428,56.50140139,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667
48453001100,484530011002,Lakeside Apartments,"85 trinity street, austin, tx 78701","elderly, disabled, displacement",15107,1,100,147703,0,100,300695,0,76.18748186,100,25,1225,2.040816327,97.95918367,86.08733816,93.04366908,17,1,100,50,1,100,100,89,0,100,65,1,100,93,0,95.55555556,100,11,0.5,90.90909091,11,0.5,90.90909091,10,0,81.81818182,90.90909091,"1,565","98,435",100,9,1,0.3333333333,100,3,1,0.3333333333,100,15,1,0.3333333333,100,100,0.5,0.5,100,95.81030848,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667
48453000902,484530009024,Chalmers Courts,"1801 e 4th st, austin, tx 78702","elderly, disabled, displacement, mobility",2434,1,14.38897521,135148,0,87.14180373,297692,0,73.28238367,14.38897521,3,541,0.5545286506,99.44547135,96.2196649,55.30432005,15,1,100,41,1,100,100,87,0,95.91836735,45,1,28.57142857,92,0,93.33333333,28.57142857,8,0.5,63.63636364,6,0.5,45.45454545,9,0,72.72727273,54.54545455,"1,835","98,165",93.60189573,5,0.99,0.3333333333,99,1,0.46,0.3333333333,46,8,1,0.3333333333,100,81.66666667,0.5,0.5,87.6342812,63.43348982,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667
48453000804,484530008042,Salina Courts,"1143 salina st, austin, tx 78702","elderly, disabled, displacement",666,1,2.445450247,141546,0,93.69431187,301242,0,76.71664893,2.445450247,53,677,7.828655835,92.17134417,46.63045377,24.53795201,5,0.99,98.14814815,15,1,100,99.07407407,83,0,87.75510204,47,1,35.71428571,95,0,100,35.71428571,9,0.5,72.72727273,8.5,0.5,68.18181818,9,0,72.72727273,70.45454545,"1,826","98,174",93.81516588,2,0.76,0.3333333333,76,3,1,0.3333333333,100,4,0.96,0.3333333333,96,90.66666667,0.5,0.5,92.24091627,65.41271983,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667
48453000804,484530008041,Rosewood Courts,"2001 rosewood ave, austin, tx 78702","elderly, disabled, displacement",543,1,1.614537594,142847,0,95.0267303,301995,0,77.44510013,1.614537594,60,644,9.316770186,90.68322981,36.48567421,19.0501059,3,0.91,83.33333333,11,1,100,91.66666667,84,0,89.79591837,48,1,39.28571429,94,0,97.77777778,39.28571429,9,0.5,72.72727273,8.5,0.5,68.18181818,9,0,72.72727273,70.45454545,"1,826","98,174",93.81516588,1,0.46,0.3333333333,46,3,1,0.3333333333,100,4,0.96,0.3333333333,96,80.66666667,0.5,0.5,87.24091627,63.02541567,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667
48453001820,484530018202,Northgate Apartments,"9120 northgate blvd, austin, tx 78758","disabled, displacement",1450,1,7.741673985,109943,0,61.328117,317724,0,92.66131373,7.741673985,48,1325,3.622641509,96.37735849,75.30371272,41.52269335,10,1,100,39,1,100,100,59,0,38.7755102,47,1,35.71428571,58,0,17.77777778,35.71428571,8,0.5,63.63636364,6,0.5,45.45454545,7,0,54.54545455,54.54545455,"5,188","94,812",14.14691943,0,0,0.3333333333,0,0,0,0.3333333333,0,6,1,0.3333333333,100,33.33333333,0.5,0.5,23.74012638,51.67800242,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667
48453001806,484530018064,Georgian Manor,"110 bolles circle, austin, tx 78753","disabled, displacement",1232,1,6.268999527,110429,0,61.82585363,319926,0,94.79152559,6.268999527,0,169,0,100,100,53.13449976,3,0.91,83.33333333,11,1,100,91.66666667,57,0,34.69387755,52,1,53.57142857,57,0,15.55555556,53.57142857,7,0.5,54.54545455,6,0.5,45.45454545,7,0,54.54545455,50,"5,785","94,215",0,0,0,0.3333333333,0,0,0,0.3333333333,0,4,0.96,0.3333333333,96,32,0.5,0.5,16,52.3954325,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667
48453002106,484530021061,Gaston Place,"1941 gaston place drive, austin, tx 78723","elderly, disabled, displacement",304,1,0,102058,0,53.25269863,311265,0,86.41288575,0,32,471,6.794055202,93.2059448,53.68353766,26.84176883,5,0.99,98.14814815,12,1,100,99.07407407,46,0,12.24489796,41,1,14.28571429,66,0,35.55555556,14.28571429,7,0.5,54.54545455,0,0.5,0,6,0,45.45454545,27.27272727,"3,391","96,609",56.72985782,0,0,0.3333333333,0,1,0.46,0.3333333333,46,1,0.46,0.3333333333,46,30.66666667,0.5,0.5,43.69826224,39.740879,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667
48453000206,484530002063,North Loop Apartments,"2300 North Loop Boulevard, austin, tx 78756","near elderly, disabled, displacement",1662,1,9.173816118,144597,0,96.81899183,325310,0,100,9.173816118,20,903,2.214839424,97.78516058,84.90098715,47.03740163,39,1,100,50,1,100,100,75,0,71.42857143,44,1,25,92,0,93.33333333,25,11,0.5,90.90909091,10,0.5,81.81818182,11,0,90.90909091,86.36363636,"1,565","98,435",100,0,0,0.3333333333,0,1,0.46,0.3333333333,46,6,1,0.3333333333,100,48.66666667,0.5,0.5,74.33333333,69.84966795,0.1666666667,0.1666666667,0.1666666667,0.3333333333,0.1666666667
